Datetime,Tweet Id,Text,Username
2022-11-03 23:52:51+00:00,1588318319324860417,@TimRyan Vote Red all the way ! #JDVance,HattiePittie
2022-11-03 23:45:53+00:00,1588316564163813376,"@InBed17 🤣I don't even want Trump in 2024 

But I do want #JDVance &amp; #JRMajewski so Toledo can stop looking like Detroit -both under #Democrat rule turning it's demise",pamp00vey
2022-11-03 23:31:44+00:00,1588313006076821504,"#TrumpRally
#OhioTrumpRally
#Ohio
#JDVance 
#JRMajewski
#RedWave #RedTsuami https://t.co/b0PWGTdZv6",pamp00vey
2022-11-03 22:19:40+00:00,1588294867750645760,"@TimRyan @MrScottLads Putting it simply, 

#JDVance is a #corruptRepublicanscumbag just like majority  of the @GOP Cockroachs! #Republicansarecorrupt #VoteBlueToSaveDemocracy https://t.co/RoQbLIfIAf",universenus
2022-11-03 21:55:37+00:00,1588288816040665089,@TimRyan YOU ARE GOING TO WIN TIM. YOU ARE AUTHENTIC AND REAL AND NOT A PHONY LIKE #JDVANCE,lovepeace3124
2022-11-03 21:14:24+00:00,1588278446018502656,"#jdvance #ohio
@DispatchAlerts @Enquirer @clevelanddotcom https://t.co/xZxQn5KQC8",calvinkholsclaw
2022-11-03 20:50:52+00:00,1588272522964803584,"@lainiebird2011 @TimRyan they know we can win Ohio, that's why!!!  #JDVance will ass kiss Trump at his rally, that much is assured!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",brother_hes
2022-11-03 20:38:54+00:00,1588269511874318336,@darreldrowland #JDVance will turn his back on #Ukraine in the blink of an eye. He's nothing more than #PutinsPuppet.,Richland_Dems
2022-11-03 20:03:14+00:00,1588260533647867904,#DeadlineWH #TedCruz #Dancrenshaw Retire Greg Abbott &amp; Mike Lee #DougMastriano #BlakeMasters “Choosing 2nd Amendment over 2nd Graders”#RonDeSantis #MarcoRubio #MayraFlores Ending Social Security &amp; Medicare #JimJordan #JDVance #KariLake Uvalde School Massacre Cover Up #ChipRoy https://t.co/AJbdsAHX4V,celebritykdawg5
2022-11-03 19:51:57+00:00,1588257695030996993,"Many Twitter users thought the Ohio Senate candidate’s remarks were divorced from reality. https://t.co/vWhuUMHtqY via @HuffPostPol  #JDVANCE #GOPDomesticTerrorists  #WomensRightsAreHumanRights  #VoteThemOut 
#RepublicansAreTheProblem",ricanjen
